bin_impactAngle,bin_neckSection,latitude,longitude,impactAngle
3,3,-23.1,-56.7,32.7
4,3,-3.7,113.3,40.8
5,3,-49.0,87.7,78.3
5,3,35.3,76.1,80.0
5,3,-41.2,84.4,65.1
5,3,41.9,102.7,82.1
4,3,11.1,-30.5,48.2
5,3,35.4,112.7,75.1
4,3,-11.4,-83.8,50.7
3,3,6.5,174.7,34.8
5,3,31.8,125.2,62.0
5,2,11.5,26.7,65.3
5,2,47.7,43.9,87.7
5,3,30.0,108.3,71.0
3,3,-20.0,169.6,24.3
4,3,27.6,-94.6,50.4
5,3,-43.1,140.1,71.7
5,3,-42.3,-104.3,72.7
4,3,32.0,-109.9,56.9
3,3,-22.8,-68.6,27.4
4,3,28.2,-64.5,51.5
5,3,34.4,-112.4,62.0
5,4,-28.4,27.4,76.6
5,4,33.8,-112.6,68.3
5,4,27.1,-107.1,60.1
3,3,-11.4,-33.6,21.5
5,3,20.4,57.2,69.8
5,2,29.1,25.4,80.0
4,2,26.9,93.4,59.8
5,2,25.6,15.4,77.8
4,2,20.0,-111.5,41.2
4,2,21.5,-132.2,50.2
5,3,-40.4,150.8,70.3
4,3,21.8,-139.7,55.7
3,3,-22.9,-93.5,34.5
3,3,16.5,-46.7,31.7
4,3,22.9,-140.6,59.1
3,4,-7.7,-117.3,37.8
4,4,23.2,-91.7,50.2
5,4,25.6,-137.9,62.1
5,3,15.5,-155.1,66.0
5,1,17.0,52.7,68.5
3,1,9.3,-94.5,24.5
4,1,11.7,-132.6,42.5
4,2,-6.7,59.1,49.9
4,2,11.5,-146.4,51.7
5,2,-33.0,161.5,71.2
4,2,11.3,-151.3,57.1
4,3,-28.4,-79.2,42.6
2,3,7.6,-27.9,16.3
4,3,11.7,-151.2,59.9
5,3,-11.9,52.8,61.3
4,3,-17.5,-118.0,40.5
3,3,11.6,-78.6,37.2
5,3,13.0,-148.3,61.3
5,3,34.0,34.5,86.4
4,4,-3.4,-132.5,43.6
4,4,15.6,-127.7,59.6
5,4,15.8,-146.8,62.4
4,4,16.8,-106.2,41.4
5,1,3.9,36.0,71.6
3,1,2.4,-109.4,25.8
4,1,2.6,-139.5,43.5
4,1,2.5,-151.3,52.9
5,2,-28.5,130.4,68.4
4,2,2.4,-155.4,58.1
3,2,-19.6,153.4,25.3
5,3,-49.9,110.5,83.6
5,3,2.5,-154.9,60.8
5,3,48.4,94.6,87.3
4,3,-26.5,-101.5,44.9
3,3,2.5,-72.7,31.4
5,3,2.8,-151.8,61.6
4,3,23.8,-79.4,45.4
4,4,-14.6,-129.5,44.3
4,4,3.3,-118.9,53.6
5,4,3.4,-149.8,61.8
4,4,18.9,-122.8,44.7
5,1,-9.6,40.5,70.9
3,1,-5.7,-105.9,25.5
4,1,-6.4,-137.8,43.2
4,2,-6.2,-150.1,52.5
4,2,-6.0,-154.3,57.8
5,2,31.3,150.6,71.5
5,3,-38.4,68.5,83.6
2,3,-3.4,-13.9,7.7
5,3,-6.2,-153.9,60.5
4,3,18.1,-42.4,43.4
5,3,-47.2,57.1,89.7
3,3,-6.2,-74.3,33.0
5,3,-6.9,-150.9,61.5
4,3,23.6,-111.1,42.8
4,4,-19.7,-116.0,44.3
4,4,-8.2,-121.1,55.2
5,4,-8.4,-149.0,61.9
4,4,10.2,-132.2,43.9
5,3,7.8,-125.5,62.7
5,2,-21.8,66.5,65.6
3,2,-9.3,-76.1,22.6
4,2,-15.6,-126.1,41.8
4,2,-15.6,-141.9,51.0
4,2,-15.5,-147.6,56.4
5,2,36.2,159.8,71.1
3,3,27.6,-26.2,38.5
3,3,-11.1,-36.1,22.6
4,3,-16.1,-147.8,59.4
3,3,26.6,-89.1,38.9
5,3,-3.8,20.0,71.1
4,3,-16.1,-83.2,41.7
5,3,-18.0,-145.1,61.3
3,3,12.8,-119.5,39.4
3,4,-12.3,-102.3,37.5
5,4,-21.6,-135.6,64.2
5,4,-21.3,-143.6,62.9
4,4,-1.8,-129.2,42.8
5,3,-26.0,29.4,78.4
5,3,-36.0,-131.8,73.2
5,2,-36.3,55.7,78.3
4,2,-27.8,122.1,54.3
5,2,-22.9,21.1,73.7
4,2,-20.9,-93.1,40.5
4,2,-25.6,-120.9,50.1
4,3,-14.7,-79.5,41.9
4,3,-26.7,-130.7,55.7
5,3,42.2,143.5,69.9
3,3,-21.0,-54.4,39.3
4,3,-28.3,-132.2,59.7
3,3,21.2,-90.9,31.5
4,4,-29.6,-99.7,58.4
5,4,-31.4,-128.9,63.9
3,4,6.1,-111.3,34.6
4,3,28.5,145.3,49.5
5,3,-6.0,27.7,66.2
5,3,-48.0,55.2,88.3
3,3,21.2,122.6,36.9
4,3,-14.8,-55.0,43.9
4,3,-29.7,-83.9,57.1
5,3,36.1,153.7,72.0
5,4,-33.2,-72.0,62.3
5,4,-31.5,-88.8,62.2
5,4,46.4,64.8,78.3
3,3,25.6,-39.2,28.8
5,3,47.3,108.1,81.0
3,3,23.0,168.5,24.2
4,3,-2.4,105.1,48.8
