bin_impactAngle,bin_neckSection,latitude,longitude,impactAngle
4,4,11.0,83.1,49.7
4,4,12.7,87.4,47.6
4,4,12.3,86.9,47.5
4,4,13.3,84.3,49.3
4,4,11.9,83.1,49.9
4,4,10.7,92.1,44.7
4,4,8.1,93.6,43.2
4,4,7.7,91.9,43.7
4,4,9.3,88.1,45.5
4,4,12.8,83.8,48.8
4,4,13.2,86.9,48.5
4,4,8.8,95.3,42.8
4,4,6.0,96.9,41.5
4,4,5.1,95.5,41.9
4,4,5.7,92.2,43.2
4,4,8.3,87.5,45.4
4,4,12.9,83.1,49.0
4,4,12.9,88.3,47.7
4,4,8.0,96.3,42.2
4,4,5.3,97.8,41.1
4,4,4.3,96.3,41.6
4,4,4.9,92.9,42.9
4,4,7.5,88.0,45.0
4,4,12.4,83.2,48.6
4,4,13.2,85.1,49.3
4,4,9.1,94.5,43.2
4,4,6.1,96.3,41.7
4,4,5.1,95.0,42.1
4,4,5.8,91.7,43.4
4,4,8.6,87.1,45.6
4,4,13.2,83.2,49.3
4,4,3.2,82.8,47.3
4,4,11.4,90.2,45.8
4,4,8.6,92.3,43.8
4,4,8.0,90.7,44.2
4,4,9.8,87.1,46.0
4,4,13.3,83.8,49.3
4,4,13.3,85.0,49.2
4,4,13.2,85.2,48.8
4,4,11.7,85.2,49.2
4,4,7.7,88.7,46.8
4,4,-11.0,93.7,44.3
4,4,10.8,95.3,43.7
4,4,8.0,95.3,42.5
4,4,8.4,92.2,43.7
4,4,12.0,88.1,46.8
4,4,9.9,99.0,41.9
3,4,5.1,101.9,39.4
3,4,2.9,100.8,39.8
4,4,2.4,97.9,40.9
4,4,3.7,93.8,42.5
4,4,7.3,88.7,44.7
4,4,13.2,86.7,48.4
4,4,10.7,99.3,42.3
3,4,4.7,105.3,38.1
3,4,1.5,105.4,38.1
3,4,-0.1,103.7,39.1
4,4,-0.5,100.8,40.3
4,4,0.2,96.8,41.6
4,4,2.5,91.8,43.2
4,4,7.5,86.3,45.6
4,4,11.9,90.1,47.6
4,4,9.2,102.4,40.3
3,4,3.5,107.5,37.2
3,4,0.4,107.6,37.5
3,4,-1.3,106.0,38.5
3,4,-1.9,103.4,39.7
4,4,-1.7,100.0,40.9
4,4,-0.5,95.5,42.3
4,4,2.4,90.1,43.9
4,4,8.3,84.7,46.3
3,4,-6.3,108.0,37.2
3,4,8.7,103.4,39.7
3,4,2.9,108.2,36.9
3,4,-0.2,108.1,37.4
3,4,-1.8,106.4,38.5
3,4,-2.5,103.8,39.7
4,4,-2.3,100.3,40.9
4,4,-1.1,95.8,42.3
4,4,1.7,90.3,43.9
4,4,7.7,84.6,46.2
3,4,1.3,103.6,39.3
4,4,9.6,101.3,40.9
3,4,3.4,107.2,37.3
3,4,0.2,107.4,37.6
3,4,-1.5,105.8,38.7
3,4,-2.2,103.2,39.8
4,4,-2.0,99.7,41.1
4,4,-0.7,95.2,42.4
4,4,2.3,89.8,44.0
4,4,8.6,84.6,46.4
4,4,11.6,96.5,43.9
3,4,4.7,104.4,38.4
3,4,1.2,104.9,38.4
3,4,-0.5,103.3,39.4
4,4,-1.0,100.4,40.6
4,4,-0.2,96.3,41.9
4,4,2.3,91.2,43.5
4,4,7.9,85.9,45.8
3,4,0.8,102.5,39.6
4,4,11.0,96.1,43.5
3,4,5.2,100.6,39.9
4,4,2.6,99.9,40.2
4,4,2.1,97.1,41.3
4,4,3.5,92.9,42.8
4,4,7.9,88.0,45.1
4,4,11.1,91.9,46.8
4,4,12.3,92.2,45.8
4,4,8.9,93.7,43.4
4,4,9.4,90.9,44.5
4,4,13.1,88.6,47.8
4,4,12.0,96.9,44.0
4,4,9.9,95.5,43.1
4,4,11.9,92.8,45.2
4,4,10.3,101.2,41.3
3,4,5.1,101.6,39.5
4,4,3.0,99.2,40.4
4,4,3.2,95.7,41.7
4,4,6.0,91.6,43.4
4,4,12.3,90.1,46.4
4,4,10.9,102.8,41.2
3,4,4.5,105.9,37.8
3,4,1.1,104.5,38.5
3,4,-0.6,102.2,39.8
4,4,-1.0,99.2,41.0
4,4,-0.2,95.6,42.1
4,4,2.3,91.4,43.4
4,4,7.7,87.6,45.2
4,4,6.8,100.1,42.5
3,4,5.1,108.6,36.8
3,4,0.8,107.9,37.3
3,4,-1.6,106.0,38.6
3,4,-2.8,103.6,39.8
4,4,-3.2,100.8,41.0
4,4,-2.7,97.5,42.1
4,4,-1.1,93.4,43.1
4,4,2.3,88.8,44.3
4,4,9.1,85.8,46.2
3,4,4.0,110.3,36.0
3,4,-0.1,109.4,36.9
3,4,-2.4,107.4,38.3
3,4,-3.8,105.2,39.6
4,4,-4.3,102.6,40.7
4,4,-4.2,99.7,41.7
4,4,-3.3,96.1,42.8
4,4,-1.3,91.8,43.8
4,4,2.8,87.1,44.9
4,4,10.6,85.4,46.9
3,4,3.5,110.9,35.8
3,4,-0.6,109.8,36.8
3,4,-2.9,107.7,38.3
3,4,-4.2,105.4,39.6
4,4,-4.8,102.9,40.8
4,4,-4.7,99.9,41.8
4,4,-3.9,96.3,42.9
4,4,-1.9,91.9,43.9
4,4,2.2,87.0,45.0
4,4,10.1,85.0,46.8
3,4,4.0,110.2,36.1
3,4,-0.3,109.4,36.9
3,4,-2.7,107.4,38.4
3,4,-4.1,105.1,39.7
4,4,-4.6,102.6,40.8
4,4,-4.5,99.6,41.9
4,4,-3.7,96.0,42.9
4,4,-1.6,91.6,43.9
4,4,2.7,87.0,45.0
4,4,10.9,86.0,46.8
3,4,5.2,108.2,37.0
3,4,0.4,107.9,37.3
3,4,-2.1,106.0,38.7
4,4,-3.4,103.5,40.1
4,4,-3.8,100.7,41.2
4,4,-3.3,97.3,42.3
4,4,-1.6,93.2,43.4
4,4,2.1,88.6,44.4
4,4,9.7,86.4,46.2
4,4,12.1,99.0,43.5
3,4,4.5,105.5,38.0
3,4,0.5,104.4,38.7
3,4,-1.3,102.1,40.0
4,4,-1.7,99.0,41.2
4,4,-0.8,95.3,42.4
4,4,2.0,91.1,43.5
4,4,8.4,88.0,45.2
4,4,11.8,98.4,43.4
3,4,5.3,101.0,39.8
4,4,2.7,98.8,40.6
4,4,3.0,95.3,41.9
4,4,6.4,91.5,43.5
4,4,12.8,93.8,46.3
4,4,12.4,93.4,46.6
4,4,11.5,95.1,44.2
4,4,12.8,94.1,46.2
4,4,10.2,98.2,44.5
4,4,8.6,100.9,40.6
4,4,6.7,97.6,41.3
4,4,8.5,95.1,42.7
4,4,12.6,97.9,44.7
3,4,7.1,104.6,38.7
3,4,3.0,101.6,39.4
4,4,1.3,98.6,40.8
4,4,1.4,95.5,41.9
4,4,3.6,92.5,42.9
4,4,8.8,91.3,44.1
3,4,7.6,107.8,37.6
3,4,2.5,105.4,38.0
3,4,-0.3,102.6,39.5
4,4,-1.8,100.0,40.8
4,4,-2.1,97.3,41.9
4,4,-1.4,94.5,42.8
4,4,0.7,91.4,43.5
4,4,4.9,88.9,44.2
4,4,12.0,92.3,45.4
3,4,3.0,108.3,36.8
3,4,-0.6,105.5,38.5
4,4,-2.6,102.9,40.0
4,4,-3.7,100.5,41.2
4,4,-4.0,98.0,42.2
4,4,-3.5,95.4,43.1
4,4,-2.2,92.4,43.8
4,4,0.6,89.2,44.3
4,4,5.9,87.1,45.0
4,4,12.5,97.3,45.0
3,4,2.1,109.3,36.5
3,4,-1.4,106.5,38.3
3,4,-3.4,103.9,39.9
4,4,-4.5,101.5,41.2
4,4,-5.0,99.3,42.1
4,4,-4.9,96.8,43.0
4,4,-4.1,94.1,43.7
4,4,-2.4,90.9,44.3
4,4,0.9,87.7,44.8
4,4,7.0,86.4,45.4
3,4,5.4,106.9,39.6
3,4,1.6,109.6,36.4
3,4,-1.8,106.7,38.3
3,4,-3.8,104.1,40.0
4,4,-5.0,101.7,41.2
4,4,-5.4,99.4,42.2
4,4,-5.3,97.0,43.1
4,4,-4.6,94.2,43.8
4,4,-2.9,91.0,44.4
4,4,0.4,87.6,44.9
4,4,6.6,86.1,45.4
3,4,1.9,109.5,36.4
3,4,-1.6,106.6,38.3
3,4,-3.7,104.0,40.0
4,4,-4.8,101.6,41.2
4,4,-5.3,99.3,42.2
4,4,-5.2,96.8,43.1
4,4,-4.4,94.1,43.8
4,4,-2.6,90.9,44.4
4,4,0.7,87.7,44.8
4,4,7.2,86.7,45.3
3,4,2.9,108.6,36.7
3,4,-1.0,105.8,38.5
4,4,-3.2,103.1,40.1
4,4,-4.2,100.6,41.4
4,4,-4.6,98.1,42.4
4,4,-4.1,95.4,43.2
4,4,-2.7,92.3,43.9
4,4,0.2,89.2,44.4
4,4,6.0,87.6,44.8
4,4,10.0,103.5,42.5
3,4,8.2,107.6,37.9
3,4,2.2,105.8,37.9
3,4,-0.9,103.0,39.5
4,4,-2.5,100.2,41.0
4,4,-2.8,97.5,42.1
4,4,-2.1,94.5,42.9
4,4,0.1,91.5,43.6
4,4,4.9,89.4,44.0
4,4,12.6,96.8,44.8
3,4,7.7,104.8,38.8
3,4,2.7,102.1,39.3
4,4,0.7,98.9,40.7
4,4,0.9,95.8,41.9
4,4,3.4,93.0,42.7
4,4,9.8,93.2,43.8
4,4,9.8,101.4,40.9
4,4,7.4,98.4,41.1
4,4,9.6,96.5,42.5
3,4,8.1,102.3,39.8
4,4,6.7,98.8,40.8
4,4,8.0,97.4,41.6
4,4,11.9,101.1,42.5
3,4,6.9,104.6,38.6
3,4,3.6,100.4,39.9
4,4,2.1,97.4,41.1
4,4,2.3,95.0,42.0
4,4,4.2,93.5,42.5
4,4,8.3,94.5,42.8
3,4,7.3,107.5,37.6
3,4,3.1,103.2,38.8
4,4,0.6,99.9,40.3
4,4,-0.6,97.3,41.5
