bin_impactAngle,bin_neckSection,latitude,longitude,impactAngle
4,3,35.7,105.4,53.7
4,3,-16.2,-39.9,56.8
4,3,-38.3,80.6,56.8
4,3,-31.4,-40.8,57.1
5,3,45.7,92.6,82.9
4,3,11.9,105.0,52.3
5,3,38.7,-65.3,60.6
4,3,-36.7,-61.3,59.6
3,3,26.0,-54.0,38.2
5,3,-30.1,82.0,72.4
5,3,-34.8,59.6,78.4
5,3,43.0,-80.5,70.7
3,3,-24.1,-29.6,26.7
5,3,-24.5,127.0,63.9
4,3,4.2,-82.8,45.7
5,3,-40.9,111.7,75.1
5,3,33.7,57.1,68.5
4,3,6.6,-85.6,48.4
3,3,-24.4,-76.8,39.2
4,3,-20.7,127.1,57.7
3,3,-6.6,165.3,24.4
3,3,-1.6,164.7,30.8
5,3,-37.3,127.9,67.6
4,3,-6.3,-47.4,41.6
4,3,-26.8,-91.1,45.5
5,3,-21.6,56.9,70.1
4,3,8.3,139.5,44.1
4,3,14.3,139.6,50.8
4,3,9.5,155.8,44.8
5,3,-24.4,-118.0,67.2
4,3,-8.7,-130.2,49.1
2,3,-17.8,-28.8,15.8
5,3,-39.2,-82.7,62.8
3,3,3.8,145.4,38.4
4,3,17.5,132.3,54.7
4,3,19.1,139.5,55.9
4,3,10.6,160.3,46.3
3,3,-11.2,-54.8,25.8
5,3,-40.3,-73.2,73.7
3,3,-1.8,160.7,30.3
4,3,15.4,140.8,51.9
4,3,16.9,147.5,53.5
4,3,5.7,171.3,41.0
3,3,-8.6,-65.8,30.8
3,3,2.2,171.3,36.3
4,3,11.5,-122.7,60.0
3,3,-7.6,-68.4,32.1
5,3,-40.6,-71.1,73.1
3,3,-8.1,-62.9,29.9
3,3,26.7,150.1,36.2
3,3,16.6,70.1,34.5
5,3,-43.0,115.8,71.9
4,3,25.5,-84.6,43.6
3,3,-10.0,-70.0,31.3
4,3,19.0,-50.9,59.0
3,3,13.1,104.8,38.5
3,3,-14.1,-53.2,23.7
5,3,-25.5,-34.9,60.7
3,3,0.2,-55.0,37.1
3,3,-22.4,-65.9,31.4
4,3,-1.3,134.8,40.7
4,3,-9.2,136.2,49.0
4,3,-7.9,126.2,48.5
3,3,16.0,158.6,23.8
4,3,6.0,58.0,50.6
5,3,-25.1,63.4,70.6
4,3,-3.0,172.9,40.9
4,3,-30.2,-37.7,46.1
3,3,0.5,158.5,39.2
4,3,-6.1,-179.1,44.2
5,3,31.1,81.8,70.7
3,3,-24.6,-24.1,22.7
4,3,-3.2,126.7,42.3
3,3,-23.8,-173.4,21.9
3,3,-2.6,147.7,33.3
3,3,-2.8,164.1,31.1
5,3,-42.7,111.6,78.5
5,3,47.0,94.9,79.5
3,3,-19.2,-67.1,29.7
4,3,-0.1,120.6,41.6
4,3,16.8,119.6,56.8
4,3,20.0,133.5,58.9
4,3,14.6,152.4,52.4
3,3,-7.5,-169.8,26.1
3,3,7.9,74.5,33.2
5,3,42.2,-75.1,69.1
4,3,-27.6,-90.7,44.0
4,3,12.7,98.5,57.0
5,3,27.4,103.9,69.0
5,3,31.6,117.8,71.5
5,3,30.0,132.7,69.0
5,3,23.4,149.6,61.9
4,3,7.2,176.0,44.5
3,3,-8.0,-67.3,31.0
3,3,-13.8,125.9,33.8
5,3,20.9,85.4,66.3
5,3,34.4,95.0,76.3
5,3,38.5,109.5,78.4
5,3,37.8,123.1,76.5
5,3,33.7,137.0,71.9
5,3,25.3,154.2,63.2
3,3,1.0,-169.9,38.1
5,3,-35.0,75.0,74.3
3,3,-5.4,-84.5,38.2
4,3,-5.8,108.5,41.9
5,3,25.5,78.4,71.4
5,3,38.5,89.8,80.4
5,3,42.6,104.3,82.2
5,3,42.4,116.9,80.6
5,3,39.6,128.8,77.0
5,3,34.1,142.6,71.1
5,3,22.9,163.0,60.2
4,3,-37.5,118.1,58.5
5,3,-41.1,-75.8,65.7
4,3,-11.3,-103.3,42.7
5,3,16.4,79.4,64.0
5,3,36.2,81.4,79.5
5,3,43.7,96.0,83.9
5,3,45.2,109.0,83.6
5,3,43.9,119.9,80.9
5,3,40.6,131.2,76.7
5,3,34.3,145.8,70.4
4,3,20.9,169.5,57.9
4,3,-22.6,-174.8,42.4
3,3,-19.9,141.6,26.2
3,3,-4.1,-40.5,28.2
4,3,-24.4,-107.3,45.4
5,3,17.1,85.3,63.0
5,3,37.4,84.2,80.1
5,3,44.7,98.5,84.4
5,3,46.0,110.8,83.8
5,3,44.6,121.2,81.0
5,3,41.2,132.3,76.7
5,3,34.9,147.2,70.4
4,3,20.6,172.6,57.6
