t_n,x_n,y_n,z_n,dx_n,dy_n,dz_n
NaN, NaN, NaN, NaN, NaN, NaN, NaN
0.000000, 1.02046170, -0.00231677, -0.00102579, -0.01173958, -0.00677785, -0.00294886
0.012566, 1.02031320, -0.00239956, -0.00106253, -0.01189533, -0.00639657, -0.00289842
0.025133, 1.02016272, -0.00247750, -0.00109862, -0.01205630, -0.00600662, -0.00284542
0.037699, 1.02001017, -0.00255048, -0.00113403, -0.01222269, -0.00560786, -0.00278980
0.050265, 1.01985550, -0.00261840, -0.00116873, -0.01239472, -0.00520013, -0.00273150
0.062832, 1.01969864, -0.00268114, -0.00120267, -0.01257265, -0.00478327, -0.00267046
0.075398, 1.01953949, -0.00273858, -0.00123583, -0.01275675, -0.00435712, -0.00260661
0.087965, 1.01937800, -0.00279061, -0.00126817, -0.01294735, -0.00392151, -0.00253988
0.100531, 1.01921406, -0.00283710, -0.00129965, -0.01314480, -0.00347627, -0.00247020
0.113097, 1.01904760, -0.00287793, -0.00133024, -0.01334949, -0.00302123, -0.00239748
0.125664, 1.01887852, -0.00291299, -0.00135990, -0.01356186, -0.00255618, -0.00232164
0.138230, 1.01870672, -0.00294213, -0.00138858, -0.01378238, -0.00208095, -0.00224259
0.150796, 1.01853210, -0.00296524, -0.00141624, -0.01401161, -0.00159533, -0.00216022
0.163363, 1.01835453, -0.00298218, -0.00144286, -0.01425011, -0.00109911, -0.00207443
0.175929, 1.01817391, -0.00299282, -0.00146837, -0.01449857, -0.00059207, -0.00198511
0.188496, 1.01799010, -0.00299702, -0.00149273, -0.01475769, -0.00007398, -0.00189212
0.201062, 1.01780296, -0.00299463, -0.00151590, -0.01502827, 0.00045540, -0.00179534
0.213628, 1.01761234, -0.00298553, -0.00153784, -0.01531121, 0.00099631, -0.00169462
0.226195, 1.01741809, -0.00296955, -0.00155848, -0.01560747, 0.00154902, -0.00158979
0.238761, 1.01722003, -0.00294654, -0.00157777, -0.01591815, 0.00211380, -0.00148068
0.251327, 1.01701796, -0.00291637, -0.00159567, -0.01624443, 0.00269094, -0.00136711
0.263894, 1.01681169, -0.00287886, -0.00161211, -0.01658765, 0.00328073, -0.00124885
0.276460, 1.01660099, -0.00283386, -0.00162704, -0.01694929, 0.00388347, -0.00112568
0.289027, 1.01638562, -0.00278120, -0.00164038, -0.01733097, 0.00449948, -0.00099734
0.301593, 1.01616532, -0.00272072, -0.00165208, -0.01773453, 0.00512908, -0.00086355
