bin_impactAngle,bin_neckSection,latitude,longitude,impactAngle
4,2,25.8,-102.6,50.0
3,2,-18.6,144.3,30.7
3,2,-26.6,145.5,39.3
5,2,-32.4,30.9,72.3
4,2,-28.4,160.5,52.1
5,2,-42.4,52.2,73.7
3,2,2.9,-57.3,31.6
5,2,-27.8,47.8,75.7
5,2,-19.1,-164.1,72.6
2,2,-5.9,100.9,16.3
4,2,-5.4,36.3,45.7
3,2,0.5,58.1,32.0
4,2,2.7,27.9,51.2
4,2,0.6,-155.4,55.7
4,2,9.6,41.0,44.5
4,2,21.1,105.8,55.2
5,2,-36.9,-122.4,66.1
5,2,43.2,56.0,76.3
5,2,27.8,-77.3,65.9
4,2,23.8,178.6,41.6
5,2,36.7,34.8,75.2
3,2,21.0,171.8,31.5
4,2,9.9,-15.3,43.5
5,2,17.4,66.1,60.8
5,2,-37.8,-127.0,75.1
3,2,14.6,-54.1,37.3
4,2,10.4,-92.8,48.9
4,2,3.2,27.0,53.3
4,2,1.1,-104.1,51.7
3,2,-2.7,-57.2,33.0
5,2,1.0,13.0,67.3
4,2,-8.0,-90.2,46.4
4,2,-4.4,43.4,41.8
3,2,-13.0,-48.7,32.2
5,2,32.5,-117.6,66.3
5,2,-11.8,55.2,63.4
5,2,-28.5,130.4,68.4
3,2,-11.0,-93.9,37.0
3,2,-4.0,-59.8,28.3
3,2,-20.7,-92.5,33.1
4,2,3.5,-88.5,41.6
3,2,4.7,-64.5,36.9
3,2,-2.2,-37.3,22.1
5,2,24.7,-116.4,66.4
4,2,3.9,-108.1,43.6
4,2,16.7,-97.0,53.6
4,2,16.8,-81.9,49.9
3,2,11.5,-66.8,39.1
3,2,3.5,-44.9,22.6
4,2,17.5,-122.0,56.0
5,2,25.0,-114.9,61.6
4,2,23.7,-103.8,57.0
4,2,17.6,-89.7,46.4
3,2,9.0,-68.9,31.0
5,2,20.1,-138.5,60.2
5,2,23.8,-134.3,62.9
4,2,21.8,-123.6,58.0
4,2,16.3,-107.5,48.1
3,2,9.2,-84.0,34.0
2,2,2.0,-38.9,11.8
4,2,13.5,-150.9,59.4
5,2,14.6,-147.4,60.9
4,2,13.0,-136.1,56.4
4,2,9.9,-118.5,47.7
3,2,6.1,-93.0,34.9
2,2,2.3,-48.6,14.6
4,2,2.4,-155.4,58.1
4,2,1.7,-151.8,59.5
4,2,1.2,-140.3,55.5
4,2,1.1,-122.2,47.3
3,2,1.4,-96.1,35.0
2,2,1.8,-51.6,15.2
4,2,-8.5,-151.7,58.2
5,2,-11.0,-148.0,60.2
4,2,-10.4,-136.5,56.1
4,2,-7.6,-118.8,47.5
3,2,-3.2,-93.4,34.6
2,2,1.2,-49.2,14.1
4,2,-14.7,-140.6,57.8
5,2,-19.8,-136.1,61.4
4,2,-18.7,-124.9,57.1
4,2,-13.6,-108.5,47.5
3,2,-6.1,-85.0,33.3
2,2,1.4,-40.6,10.7
4,2,-11.7,-125.3,52.6
4,2,-20.7,-118.6,59.2
4,2,-20.3,-106.8,55.4
4,2,-14.5,-92.0,45.1
3,2,-5.8,-70.9,29.6
4,2,2.5,-110.7,40.1
4,2,-12.5,-102.3,50.7
4,2,-13.7,-87.1,47.9
3,2,-8.7,-71.3,37.5
3,2,-1.0,-49.5,21.1
3,2,27.2,-83.4,37.5
3,2,1.4,-93.5,39.1
3,2,-2.3,-71.4,35.6
3,2,2.5,-46.7,22.7
5,2,-20.3,-123.0,66.8
3,2,-19.6,153.4,25.3
3,2,18.1,-95.2,38.2
3,2,7.0,-66.6,28.3
5,2,38.0,-87.7,61.2
3,2,12.8,-78.5,34.0
4,2,-20.5,-111.3,53.4
5,2,-22.2,-144.6,67.2
3,2,-1.6,-71.1,38.2
4,2,20.3,-103.0,48.9
2,2,11.8,-39.8,19.0
5,2,-10.1,-150.2,67.7
5,2,30.2,-131.9,65.9
3,2,10.2,-63.1,30.4
4,2,9.0,-82.5,40.3
4,2,6.9,-96.0,46.9
4,2,3.4,-100.7,48.9
4,2,-0.2,-95.1,46.0
3,2,-2.9,-80.6,38.8
5,2,-23.5,-132.5,61.8
3,2,-5.3,-59.7,28.3
4,2,-12.8,-101.3,45.6
2,2,-9.3,-32.6,15.0
5,2,1.0,-147.2,66.9
4,2,-34.2,-100.6,54.5
3,2,-7.5,-74.3,32.7
5,2,13.6,-145.6,65.0
3,2,-4.5,-66.6,37.7
