bin_impactAngle,bin_neckSection,latitude,longitude,impactAngle
5,3,-34.2,-69.7,70.8
5,3,-27.1,-81.1,65.0
4,3,-21.6,-18.0,50.3
4,3,-2.9,-117.8,48.8
4,3,-27.3,-29.2,43.8
5,3,-36.9,-63.5,60.5
4,3,13.5,-75.3,52.2
4,3,-16.9,-85.8,40.2
4,3,-26.5,-97.4,48.8
3,3,-25.2,-60.0,36.4
3,3,-22.8,-8.0,34.9
4,3,-35.1,-70.3,54.3
4,3,-16.9,-105.1,55.9
4,3,-23.1,-102.6,48.4
4,3,-0.8,-114.3,52.6
4,3,-22.7,-126.0,53.2
3,3,-23.8,-16.7,30.3
4,3,-34.6,-78.0,53.6
4,3,-35.3,-88.3,55.2
4,3,1.9,-116.3,54.3
5,3,21.7,-82.2,60.1
4,3,-2.3,-129.6,55.0
3,3,-23.6,-29.4,27.7
4,3,-35.4,-83.8,55.2
4,3,3.2,-122.4,56.3
5,3,17.4,-111.0,62.3
3,3,-23.1,-56.7,32.7
5,3,-39.6,-76.4,68.5
5,3,-37.5,-67.3,70.5
4,3,-38.2,-81.1,59.7
3,3,-23.4,-63.2,34.7
5,3,-31.5,-65.8,66.4
5,3,-37.9,-67.8,70.7
4,3,-32.4,-93.5,52.3
4,3,-27.5,-78.1,44.0
5,3,-41.6,-84.8,69.1
4,3,-26.4,-83.1,44.6
3,3,-23.4,-34.4,27.0
4,3,-30.4,-80.2,47.1
5,3,-38.2,-65.7,68.9
4,3,-31.1,-54.9,46.1
4,3,-28.7,-56.5,40.8
4,3,-32.3,-72.9,48.6
5,3,-29.1,-61.1,65.4
4,3,34.3,127.2,47.4
4,3,-4.2,132.7,44.0
4,3,-6.3,135.7,46.0
4,3,-5.4,92.9,51.9
4,3,-3.3,131.5,42.8
4,3,4.9,56.3,51.1
4,3,1.6,52.4,52.6
5,3,-31.4,108.7,71.9
5,3,41.1,101.3,60.5
4,3,-3.1,-94.3,40.8
5,3,-37.1,116.6,75.4
3,3,-27.6,-58.7,35.3
2,3,-21.8,-179.9,18.2
3,3,-8.6,161.5,24.8
2,3,-16.2,-170.4,12.3
5,3,-44.0,97.5,81.9
4,3,0.0,65.1,54.9
2,3,-21.3,-32.8,18.3
4,3,-35.8,-66.0,54.9
4,3,3.1,124.1,43.2
4,3,14.1,128.0,53.1
4,3,14.9,141.6,53.0
4,3,7.6,161.2,44.2
