x0,y0,z0,xd0,yd0,zd0,Tp,JC,stabilityIndex1,stabilityIndex2,alpha,beta,impactFlag,error
1.0433094531131066,0.0,0.0000000000000000,0.0000000000000000,-0.0003427154342376,0.0000000000000000,3.1242473339566494,3.0154504730502474,1853.1042,1.9482,-1855.0524,3612.1719,0,3.4e-13
1.0433094531130729,0.0,0.0000000000000000,0.0000000000000000,-0.0003427154340262,0.0000000000000000,3.1242473340331562,3.0154504730502474,1853.1042,1.9482,-1855.0524,3612.1719,0,6.0e-13
1.0434209952192004,0.0,0.0000000000000000,0.0000000000000000,-0.0010458748491711,0.0000000000000000,3.1242731716800143,3.0154497055209082,1852.9317,1.9482,-1854.8799,3611.8910,0,4.2e-13
1.0435331323790276,0.0,0.0000000000000000,0.0000000000000000,-0.0017557418338308,0.0000000000000000,3.1243259273666020,3.0154481385805139,1852.5795,1.9483,-1854.5278,3611.3176,0,6.8e-13
1.0436435676397928,0.0,-0.0000000000000000,0.0000000000000000,-0.0024577850368972,0.0000000000000000,3.1244045979042006,3.0154458024589235,1852.0545,1.9484,-1854.0029,3610.4628,0,7.1e-13
1.0437545014763547,0.0,-0.0000000000000000,0.0000000000000000,-0.0031659985636041,0.0000000000000000,3.1245108052932093,3.0154426496534681,1851.3462,1.9485,-1853.2947,3609.3094,0,2.3e-12
1.0438658836166492,0.0,0.0000000000000000,0.0000000000000000,-0.0038801551869697,0.0000000000000000,3.1246453643033454,3.0154386569053231,1850.4494,1.9486,-1852.3981,3607.8491,0,2.1e-12
1.0439776616059007,0.0,-0.0000000000000000,0.0000000000000000,-0.0046000107253844,0.0000000000000000,3.1248090714116659,3.0154338017893183,1849.3594,1.9488,-1851.3082,3606.0739,0,5.2e-13
1.0440897809248286,0.0,-0.0000000000000000,0.0000000000000000,-0.0053253042725841,0.0000000000000000,3.1250027011232975,3.0154280628437853,1848.0715,1.9490,-1850.0205,3603.9763,0,8.1e-13
1.0441999440033181,0.0,0.0000000000000000,0.0000000000000000,-0.0060411618359675,0.0000000000000000,3.1252222308646949,3.0154215609603550,1846.6132,1.9493,-1848.5625,3601.6008,0,1.7e-13
